City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Laguna,US,2021-10-10 04:51:15,38.421,-121.4238,65.01,56,1,1.01
68,Guerrero Negro,MX,2021-10-10 04:53:05,27.9769,-114.0611,68.94,65,0,20.33
69,Jamestown,US,2021-10-10 04:52:26,42.097,-79.2353,63.99,91,90,5.01
70,Hobart,AU,2021-10-10 04:50:18,-42.8794,147.3294,59.02,39,40,11.5
71,Gornopravdinsk,RU,2021-10-10 04:55:56,60.05,69.9,34.56,68,47,6.89
72,Cape Town,ZA,2021-10-10 04:52:27,-33.9258,18.4232,57.09,68,0,4.61
73,Ushuaia,AR,2021-10-10 04:48:34,-54.8,-68.3,42.46,75,75,12.66
74,Aloleng,PH,2021-10-10 04:53:57,16.1307,119.7824,84.27,74,98,7.81
75,Thompson,CA,2021-10-10 04:53:24,55.7435,-97.8558,39.36,81,1,3.44
76,Ust-Omchug,RU,2021-10-10 04:55:57,61.15,149.6333,22.44,81,2,1.41
77,Dali,CN,2021-10-10 04:55:57,25.7,100.1833,74.35,50,6,3.71
78,Isabela,PH,2021-10-10 04:55:57,6.7085,121.9711,87.85,74,100,9.89
79,Grandview,US,2021-10-10 04:55:57,38.8858,-94.533,78.94,51,94,1.01
80,San Francisco,US,2021-10-10 04:52:11,37.7749,-122.4194,62.83,75,1,1.01
81,Cidreira,BR,2021-10-10 04:52:44,-30.1811,-50.2056,63.84,91,100,18.63
82,Saint George,US,2021-10-10 04:52:23,37.1041,-113.5841,63.19,39,1,5.99
83,Samarai,PG,2021-10-10 04:55:58,-10.6167,150.6667,80.56,78,87,12.73
84,Vila,PT,2021-10-10 04:55:58,42.0304,-8.1588,51.33,91,11,4.94
85,Aksarka,RU,2021-10-10 04:53:33,66.5606,67.7975,32.11,62,80,14.97
86,Barauna,BR,2021-10-10 04:55:59,-5.08,-37.6167,73.62,84,93,8.32
87,Sandakan,MY,2021-10-10 04:55:59,5.8402,118.1179,87.48,74,40,3.0
88,Bathsheba,BB,2021-10-10 04:55:59,13.2167,-59.5167,77.61,88,75,16.11
89,Atuona,PF,2021-10-10 04:52:33,-9.8,-139.0333,78.12,70,14,18.05
90,Opuwo,NA,2021-10-10 04:53:54,-18.0607,13.84,71.31,18,1,5.99
91,Ipixuna,BR,2021-10-10 04:56:00,-1.7625,-48.8043,75.15,96,83,3.83
92,Albanel,CA,2021-10-10 04:56:00,48.8832,-72.4487,57.34,93,100,3.44
93,Bluff,NZ,2021-10-10 04:52:28,-46.6,168.3333,55.53,69,92,6.44
94,Clyde River,CA,2021-10-10 04:52:24,70.4692,-68.5914,26.83,80,90,13.8
95,Cockburn Town,TC,2021-10-10 04:52:53,21.4612,-71.1419,82.96,73,95,16.8
96,Anloga,GH,2021-10-10 04:56:01,5.7947,0.8973,80.82,85,100,10.78
97,Mar Del Plata,AR,2021-10-10 04:50:36,-38.0023,-57.5575,54.12,62,0,8.01
98,Coos Bay,US,2021-10-10 04:56:01,43.3665,-124.2179,53.92,96,40,4.61
99,Wasilla,US,2021-10-10 04:56:02,61.5814,-149.4394,42.35,92,90,0.0
100,Berlevag,NO,2021-10-10 04:53:36,70.8578,29.0864,42.57,89,100,8.99
