City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
243,Sechura,PE,76.17,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
245,Languyan,PH,80.01,heavy intensity rain,5.2618,120.0807,
248,Rosita,NI,86.67,scattered clouds,13.9268,-84.4032,Hospedaje Zeledón
254,Pilibanga,IN,84.63,clear sky,29.4916,74.079,Sharma Bhawan
258,Siavonga,ZM,88.09,broken clouds,-16.5382,28.7088,Lavongora Waterfront Lodge
260,Haimen,CN,76.89,broken clouds,23.1935,116.6142,Jinghao Business Hotel
262,Manggar,ID,80.92,moderate rain,-2.8833,108.2667,Guest Hotel
270,Quelimane,MZ,76.95,light rain,-17.8786,36.8883,Hotel Flamingo
278,Dingle,PH,76.73,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
285,Sangueya,GN,77.58,overcast clouds,10.7,-14.3667,
286,Victoria,HK,81.32,overcast clouds,22.2855,114.1577,Mini Hotel Central
289,Lebanon,US,86.13,clear sky,36.2081,-86.2911,Hampton Inn & Suites Lebanon
292,Guerrero Negro,MX,79.68,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
293,Kaffrine,SN,81.66,broken clouds,14.1059,-15.5508,Beuleup counda motel
300,Kattivakkam,IN,80.69,overcast clouds,13.2167,80.3167,Euronova Freezer
301,Belmonte,BR,77.0,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
309,Kavaratti,IN,82.09,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
310,Anloga,GH,79.02,scattered clouds,5.7947,0.8973,Pin Drop Hotel
311,Tautira,PF,84.22,broken clouds,-17.7333,-149.15,Pension Oaoa
312,Saint-Georges,GD,85.68,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
319,Mulege,MX,86.36,clear sky,26.8833,-111.9833,Casa Granada
322,Sabang,ID,82.17,broken clouds,5.8933,95.3214,Hotel Citra
332,Kirakira,SB,78.62,overcast clouds,-10.4544,161.9205,SanBiz Lodge
333,Kassala,SD,88.5,overcast clouds,15.451,36.4,Amassi Hotel Gash
335,Carauari,BR,88.36,broken clouds,-4.8828,-66.8958,Hotel Fellip
345,Daru,PG,78.33,overcast clouds,-9.0763,143.2092,Daru Lodge
347,Bandarbeyla,SO,78.69,overcast clouds,9.4942,50.8122,JABIR HOTEL
352,Cabedelo,BR,81.27,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
355,Sibolga,ID,75.76,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
358,Bandundu,CD,75.09,moderate rain,-3.3167,17.3667,Coja Color
359,San Fernando,PH,81.14,overcast clouds,15.0286,120.6898,Maharlika Hostel
366,Luxor,EG,86.05,clear sky,25.6989,32.6421,Iberotel Luxor
367,Laminusa,PH,83.68,overcast clouds,5.5549,120.9136,Laminusa Port
371,Dakar,SN,82.53,scattered clouds,14.6937,-17.4441,Redface Studios Meublés
374,Dobson,US,77.18,scattered clouds,36.3957,-80.7226,
376,Tessalit,ML,87.03,overcast clouds,20.1986,1.0114,
380,Winder,US,83.95,clear sky,33.9926,-83.7202,Jameson Inn Winder
381,Axim,GH,77.25,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
382,Brokopondo,SR,86.56,overcast clouds,4.75,-55.1667,Matu Island
390,Gigmoto,PH,81.01,overcast clouds,13.7796,124.39,Cj's Travellers Inn
394,Sungairaya,ID,79.83,overcast clouds,0.7,108.9,Mess P.Milu
395,Tual,ID,82.22,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
396,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
398,Russell,US,83.48,scattered clouds,32.3502,-85.1999,Macs
400,Sibuco,PH,80.33,moderate rain,7.2911,122.0656,Bisaya Beach
402,Padang,ID,75.07,light rain,-0.9492,100.3543,Mercure Padang
403,Tancanhuitz,MX,85.48,few clouds,21.6,-98.9667,Sierra Bugambilias
404,Quang Ngai,VN,75.96,overcast clouds,15.1167,108.8,Central Hotel
405,Waingapu,ID,75.0,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
418,Fukue,JP,77.56,few clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
424,Biak,ID,76.86,overcast clouds,-0.9131,122.8766,Penginapan Kim
433,Amahai,ID,78.31,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
435,Salinopolis,BR,82.99,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
437,Catamarca,AR,83.05,broken clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
441,Half Moon Bay,US,81.59,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
447,Arinos,BR,85.37,overcast clouds,-15.9169,-46.1056,casa do bruno
459,Malindi,KE,77.13,few clouds,-3.2175,40.1191,African House Resort
462,Conceicao Do Araguaia,BR,87.39,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
472,Champerico,GT,87.76,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
475,Naucalpan,MX,82.04,few clouds,19.4785,-99.2396,Fiesta Inn Naucalpan
476,Ahuimanu,US,83.91,broken clouds,21.4447,-157.8378,Paradise Bay Resort
477,Bosaso,SO,86.07,broken clouds,11.2842,49.1816,Red Sea Hotel
478,Atar,MR,88.3,clear sky,20.5169,-13.0499,Oumou Elghoura
479,Namatanai,PG,79.11,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
480,Kidal,ML,87.8,overcast clouds,18.4411,1.4078,
481,Baculin,PH,80.87,light rain,7.4525,126.5842,Shovy's Cove
482,Teacapan,MX,87.69,overcast clouds,22.55,-105.75,Hotel los Mangos
485,Luanda,AO,75.2,scattered clouds,-8.8368,13.2343,Hotel Fórum
486,Ascension,US,87.8,scattered clouds,30.2169,-90.9001,Highland Inn
490,Sembakung,ID,80.53,overcast clouds,3.8167,117.25,
491,Ushibuka,JP,75.25,clear sky,32.1906,130.0228,Hotei
499,Palauig,PH,81.27,overcast clouds,15.435,119.9045,Alperi Botique Resort
501,Tiarei,PF,84.0,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
502,Galveston,US,89.13,broken clouds,29.3669,-94.9669,Comfort Inn & Suites Texas City
505,Nampula,MZ,75.15,clear sky,-15.1165,39.2666,BUTIK Hotel
516,Houma,US,87.01,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
517,Gizo,SB,81.72,broken clouds,-8.103,156.8419,Imagination Island
520,Blythe,US,84.65,clear sky,33.6103,-114.5964,Rodeway Inn & Suites
525,Tecoanapa,MX,84.76,clear sky,16.5167,-98.75,Hotel Manglares
526,Lorengau,PG,81.48,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
534,Mamallapuram,IN,80.65,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
536,Port Keats,AU,81.19,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
540,Hinatuan,PH,78.46,overcast clouds,8.3722,126.3342,Villa Juanita Hinatuan
544,Cayenne,GF,86.04,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
546,Ashqelon,IL,75.4,clear sky,31.6693,34.5715,Leonardo Ashkelon
547,Tuy Hoa,VN,76.96,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
548,Nanakuli,US,84.15,few clouds,21.3906,-158.1547,Camp Pālehua
