City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Talnakh,RU,69.4865,88.3972,20.79,97,93,5.17,light snow
80,Codrington,AU,-38.2667,141.9667,48.2,71,83,9.86,broken clouds
81,Norman Wells,CA,65.282,-126.8329,32.04,93,75,11.5,broken clouds
82,Yarmouth,US,41.7057,-70.2286,63.45,87,90,5.01,light rain
83,Tigil,RU,57.8,158.6667,31.44,87,54,5.64,broken clouds
84,Sinnamary,GF,5.3833,-52.95,82.78,76,100,10.45,overcast clouds
85,San Quintin,MX,30.4833,-115.95,73.11,54,0,10.67,clear sky
86,Loyga,RU,61.0784,44.6075,47.46,89,100,9.08,overcast clouds
87,Saskylakh,RU,71.9167,114.0833,17.26,96,100,6.91,overcast clouds
88,Amberley,US,39.2048,-84.428,84.34,61,1,1.99,clear sky
89,La Cruz,MX,23.9167,-106.9,87.53,68,46,7.9,scattered clouds
90,Sao Filipe,CV,14.8961,-24.4956,81.03,71,0,5.55,clear sky
91,Egvekinot,RU,66.3167,-179.1667,19.38,86,98,8.68,overcast clouds
92,Kudahuvadhoo,MV,2.6708,72.8944,83.28,74,100,15.46,overcast clouds
93,Kapaa,US,22.0752,-159.319,80.92,69,40,5.99,light rain
94,Saldanha,ZA,-33.0117,17.9442,62.65,60,83,9.53,broken clouds
95,Saint-Denis,FR,48.9167,2.3333,55.18,85,11,1.01,few clouds
96,Iqaluit,CA,63.7506,-68.5145,40.73,70,40,2.3,scattered clouds
97,Klaksvik,FO,62.2266,-6.589,41.92,70,100,18.92,overcast clouds
98,Zhigansk,RU,66.7697,123.3711,33.62,99,100,12.64,light rain
99,Kautokeino,NO,69.0125,23.0412,36.05,97,100,3.89,overcast clouds
100,San Patricio,US,28.017,-97.5169,96.78,58,53,20.87,broken clouds
101,Barrow,US,71.2906,-156.7887,28.42,74,90,8.05,overcast clouds
102,Nadym,RU,65.5333,72.5167,27.73,80,28,9.78,scattered clouds
103,Portland,US,45.5234,-122.6762,60.84,75,75,1.01,broken clouds
104,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,81,20,16.11,volcanic ash
105,Lebu,CL,-37.6167,-73.65,54.75,74,12,11.74,few clouds
106,Katsuura,JP,35.1333,140.3,71.71,71,77,12.95,broken clouds
107,Solana Beach,US,32.9912,-117.2711,88.9,57,1,1.01,clear sky
108,Kaitangata,NZ,-46.2817,169.8464,52.77,72,100,3.6,light rain
109,Anadyr,RU,64.75,177.4833,21.7,100,75,4.0,light snow
110,Broome,US,42.2506,-75.833,70.38,72,90,1.01,overcast clouds
